name,category_id,latitude,longitude,location_formatted_address,rating,review_count,bike_station_id,distance
Burger King,13065,49.2840347,-123.1141891,"612 Pender St W, Vancouver BC V6B 1V8",2.0,17,5f45325fdd6334a4c0d3b62853b19fa6,176.0
De Dutch,13065,49.2673825,-123.112985,"410 2nd Ave W (Yukon St), Vancouver BC V5Y 1E2",2.5,40,680b1ddfd50c4397b365c9c00f09b0d1,55.5
reLiSH Gourmet Burgers,13065,49.2679537,-123.1117883,"340 2nd Ave W, Vancouver BC V5Y 1C8",2.5,6,680b1ddfd50c4397b365c9c00f09b0d1,108.5
Bufala,13065,49.2374125128053,-123.155639817237,"5395 West Blvd (at W 38th Ave), Vancouver BC V6M 3W4",3.5,148,7f091b50fbbd892bf9fb869a64c47120,88.5
White Spot Kerrisdale,13065,49.2376472,-123.155693,"5367 West Blvd (37th), Vancouver BC V6M 3W4",2.5,50,7f091b50fbbd892bf9fb869a64c47120,65.5
McDonald's,13065,49.2851579983642,-123.064025,"1965 Powell St (at Semlin Dr), Vancouver BC V5L 1J2",2.5,9,7c17f51469f1a7145455f65ef6afbd87,183.0
Dundas Eat + Drink,13065,49.285084,-123.062273,"2077 Dundas St (Lakewood Dr), Vancouver BC V5L 1J5",4.5,71,7c17f51469f1a7145455f65ef6afbd87,73.5
Landmark Hotpot House,13065,49.2498660758194,-123.11556053834,"4023 Cambie St (at W. King Edward Ave.), Vancouver BC V5Z 2X9",4.0,121,549f00f6039e8bb702a00dcca08a8ed0,82.0
Kosoo Restaurant,13065,49.2890856,-123.1326402,"832 Cardero St, Vancouver BC V6G 2G5",3.5,165,0c42f45e4a14957ad4a6d521d0ba8bc3,10.5
Sura Korean Cuisine,13065,49.2888601838143,-123.131742169312,"1518 Robson St, Vancouver BC V6G 1C2",4.0,426,0c42f45e4a14957ad4a6d521d0ba8bc3,84.0
Hokkaido Ramen Santouka,13065,49.290236,-123.133811,"1690 Robson St (at Bidwell St), Vancouver BC V6G 1C7",4.0,987,0c42f45e4a14957ad4a6d521d0ba8bc3,137.0
Viet Sub,13065,49.2901826,-123.1337111,"1682 Robson St (btwn Bidwell & Cardero), Vancouver BC V6G 1C7",4.0,64,0c42f45e4a14957ad4a6d521d0ba8bc3,119.0
Zabu Chicken,13065,49.289849,-123.132666,"1635 Robson St, Vancouver BC V6G 1C8",3.0,232,0c42f45e4a14957ad4a6d521d0ba8bc3,65.0
Hongdae Pocha Korean BBQ,13065,49.28972,-123.1333,"1642 Robson St, Vancouver BC V6G 1C7",3.0,34,0c42f45e4a14957ad4a6d521d0ba8bc3,75.5
McDonald's,13065,49.2906798162448,-123.133832132379,"1701 Robson St (at Bidwell St), Vancouver BC V6G 1C9",2.5,12,0c42f45e4a14957ad4a6d521d0ba8bc3,179.0
Collective Goods Bistro & Grocer,13065,49.2531205,-123.0678002,"3532 Commercial St, Vancouver BC V5N 4E9",4.0,18,62a202eb98c0a4b09ba6746f5ee94ab3,53.5
Number e food,13065,49.277569151917,-123.131018212403,"1308 Burrard St (Drake St), Vancouver BC V6Z 2B7",5.0,135,a6c6df138cbc97b9f81e7ffbbebdde6f,117.0
Nando's,13065,49.2778746,-123.1276559,"828 Davie St (at Howe St.), Vancouver BC V6Z 2S2",3.5,202,a6c6df138cbc97b9f81e7ffbbebdde6f,147.5
Sushi Mugen,13065,49.2786508,-123.1282232,"903 Davie St, Vancouver BC V6Z 1B9",4.0,106,a6c6df138cbc97b9f81e7ffbbebdde6f,147.5
Firecrust,13065,49.2777868,-123.1274639,"808 Davie St (Howe St), Vancouver BC V6Z 2S2",4.0,140,a6c6df138cbc97b9f81e7ffbbebdde6f,138.5
Giardino,13065,49.276991,-123.1301021,"1328 Hornby St (Drake), Vancouver BC V6Z 1W5",4.0,123,a6c6df138cbc97b9f81e7ffbbebdde6f,73.5
Subway,13065,49.2767593,-123.1270705,"1255 Granville St, Vancouver BC V6Z 1M5",2.0,1,a6c6df138cbc97b9f81e7ffbbebdde6f,185.0
Daikichi Sushi,13065,49.2773454,-123.1314919,"1346 Burrard St (at Harwood St.), Vancouver BC V6Z 2B7",3.0,83,a6c6df138cbc97b9f81e7ffbbebdde6f,149.0
White Spot,13065,49.276139219048,-123.128192383024,"718 Drake St (at Granville St), Vancouver BC V6Z 2W6",2.5,89,a6c6df138cbc97b9f81e7ffbbebdde6f,187.5
