fsq_id,category_id,chains,distance,latitude,longitude,location_country,location_cross_street,location_formatted_address,location_locality,location_postcode,location_region,location_timezone,name,bike_station_id
5898f8a5af5c1411a1a2263d,13065,"[{'id': 'd5719cc0-d890-0132-61d3-7a163eb2a6fc', 'name': 'Tim Hortons'}]",130,49.265791,-123.122584,CA,Willow Street,"818 6th Ave W (Willow Street), Vancouver BC V5Z 1A6",Vancouver,V5Z 1A6,BC,America/Vancouver,Tim Hortons,ace20c241ee38643c9060f290b215b9d
4abee9acf964a520859020e3,13065,[],160,49.26559,-123.121999,CA,at Willow St.,"804W 6th Ave W (at Willow St.), Vancouver BC V5Z 1A6",Vancouver,V5Z 1A6,BC,America/Vancouver,Szechuan Chili Restaurant,ace20c241ee38643c9060f290b215b9d
4b4e3632f964a52072e526e3,13065,"[{'id': 'd5719cc0-d890-0132-61d3-7a163eb2a6fc', 'name': 'Tim Hortons'}]",171,49.263583,-123.123288,CA,at Laurel St.,"865 West Broadway (at Laurel St.), Vancouver BC V5Z 1J9",Vancouver,V5Z 1J9,BC,America/Vancouver,Tim Hortons,ace20c241ee38643c9060f290b215b9d
5f040c3774523a3e948cb6a1,13065,[],171,49.263541,-123.124014,CA,,"895 Broadway W, Vancouver BC V5Z 1J9",Vancouver,V5Z 1J9,BC,America/Vancouver,Halfday Tea + Flower,ace20c241ee38643c9060f290b215b9d
4e2ceb49e4cd3bc166a52a39,13065,[],173,49.264123,-123.122117,CA,Lougheed,"North Rd (Lougheed), Vancouver BC",Vancouver,,BC,America/Vancouver,Wings Tap & Grill,ace20c241ee38643c9060f290b215b9d
607a17ada8476a03b31e132b,13065,[],173,49.263514,-123.123908,CA,Laurel Street,"887 Broadway W (Laurel Street), Vancouver BC V5Z 1J9",Vancouver,V5Z 1J9,BC,America/Vancouver,Legendary Noodle,ace20c241ee38643c9060f290b215b9d
5c97f75f6fd626002cb57796,13065,[],178,49.263598,-123.123127,CA,,"865 Broadway W, Vancouver BC V5Z 1J9",Vancouver,V5Z 1J9,BC,America/Vancouver,Moderne Burger Burgerette,ace20c241ee38643c9060f290b215b9d
c42f66b940e3455aebdfa03b,13065,[],166,49.263588,-123.123531,CA,,"865 Broadway W, Vancouver BC V5Z 1J9",Vancouver,V5Z 1J9,BC,,Moderne Burger,ace20c241ee38643c9060f290b215b9d
59f44945a8924061b8cbe2fb,13065,[],170,49.263567,-123.124341,CA,,"1601 Broadway W, Vancouver BC V6J 1W9",Vancouver,V6J 1W9,BC,,Broadway Earl's,ace20c241ee38643c9060f290b215b9d
49023f9a33a547628a6a3ae3,13065,[],174,49.263572,-123.124584,CA,,"901 Broadway W, Vancouver BC V5Z 1K3",Vancouver,V5Z 1K3,BC,,New India Buffet & Restaurant Ltd,ace20c241ee38643c9060f290b215b9d
4b1b3111f964a52064f923e3,13065,[],171,49.263661,-123.130512,CA,Alder St,"1177 Broadway W (Alder St), Vancouver BC V6H 1G3",Vancouver,V6H 1G3,BC,America/Vancouver,Raga Restaurant,3aed670ccdcd94b966c0f505f8b028c7
4cc1de84cdb59c741a542c48,13065,[],178,49.26363,-123.131726,CA,at Alder St,"1215 Broadway W (at Alder St), Vancouver BC V6H 1G7",Vancouver,V6H 1G7,BC,America/Vancouver,Royal Seoul House,3aed670ccdcd94b966c0f505f8b028c7
